observed_at	temp_c	humidity_pct	dewpoint_c	pressure_hPa	wind_speed_mps	wind_gust_mps	wind_dir_deg	uv_index	solar_radiation_wm2	rain_hourly_mm	rain_hourly_in	temp_f	dewpoint_f	wind_speed_mph	wind_gust_mph
2019-10-16 00:00	22.625	34.33	6.119	1012.35								72.725	43.0142		
2019-10-16 00:01	22.687	34.78	6.362	1012.37								72.8366	43.4516		
2019-10-16 00:02	22.625	36.41	6.972	1012.37								72.725	44.5496		
2019-10-16 00:03	22.562	34.78	6.252	1012.33								72.6116	43.2536		
2019-10-16 00:04	22.562	34.3	6.051	1012.39								72.6116	42.8918		
2019-10-16 00:05	22.625	33.74	5.868	1012.39								72.725	42.5624		
2019-10-16 00:06	22.625	33.43	5.735	1012.39								72.725	42.323		
2019-10-16 00:07	22.625	33.21	5.64	1012.36								72.725	42.152		
2019-10-16 00:08	22.625	33.49	5.761	1012.37								72.725	42.3698		
2019-10-16 00:09	22.625	33.01	5.553	1012.39								72.725	41.9954		
2019-10-16 00:10	22.625	32.91	5.509	1012.36								72.725	41.9162		
2019-10-16 00:11	22.625	33.11	5.597	1012.37								72.725	42.0746		
2019-10-16 00:12	22.625	33.82	5.902	1012.4								72.725	42.6236		
2019-10-16 00:13	22.562	34.11	5.971	1012.38								72.6116	42.7478		
2019-10-16 00:14	22.562	33.8	5.839	1012.41								72.6116	42.5102		
2019-10-16 00:15	22.5	33.76	5.767	1012.39								72.5	42.3806		
2019-10-16 00:16	22.5	33.69	5.737	1012.39								72.5	42.3266		
2019-10-16 00:17	22.5	34.0	5.87	1012.38								72.5	42.566		
2019-10-16 00:18	22.5	34.65	6.143	1012.38								72.5	43.0574		
2019-10-16 00:19	22.437	33.91	5.776	1012.39								72.3866	42.3968		
2019-10-16 00:20	22.437	33.77	5.717	1012.36								72.3866	42.2906		
2019-10-16 00:21	22.437	33.96	5.797	1012.39								72.3866	42.4346		
2019-10-16 00:22	22.437	33.89	5.768	1012.37								72.3866	42.3824		
2019-10-16 00:23	22.375	34.13	5.815	1012.34								72.275	42.467		
2019-10-16 00:24	22.312	33.74	5.594	1012.34								72.1616	42.0692		
2019-10-16 00:25	22.312	34.2	5.789	1012.34								72.1616	42.4202		
2019-10-16 00:26	22.312	33.58	5.526	1012.34								72.1616	41.9468		
2019-10-16 00:27	22.25	33.1	5.265	1012.35								72.05	41.477		
2019-10-16 00:28	22.25	32.46	4.985	1012.38								72.05	40.973		
2019-10-16 00:29	22.312	32.17	4.91	1012.34								72.1616	40.838		
2019-10-16 00:30	22.312	31.25	4.496	1012.38								72.1616	40.0928		
