observed_at	temp_c	humidity_pct	dewpoint_c	pressure_hPa	wind_speed_mps	wind_gust_mps	wind_dir_deg	uv_index	solar_radiation_wm2	rain_hourly_mm	rain_hourly_in	temp_f	dewpoint_f	wind_speed_mph	wind_gust_mph
2018-01-03 00:00	17.562	14.53	-9.737	1019.37								63.6116	14.4734		
2018-01-03 00:01	17.5	14.07	-10.192	1019.34								63.5	13.6544		
2018-01-03 00:02	17.5	14.04	-10.218	1019.35								63.5	13.6076		
2018-01-03 00:03	17.5	14.03	-10.227	1019.35								63.5	13.5914		
2018-01-03 00:04	17.5	13.96	-10.29	1019.34								63.5	13.478		
2018-01-03 00:05	17.5	14.12	-10.147	1019.34								63.5	13.7354		
2018-01-03 00:06	17.5	13.86	-10.381	1019.36								63.5	13.3142		
2018-01-03 00:07	17.5	13.91	-10.335	1019.35								63.5	13.397		
2018-01-03 00:08	17.5	14.27	-10.014	1019.34								63.5	13.9748		
2018-01-03 00:09	17.437	13.82	-10.467	1019.34								63.3866	13.1594		
2018-01-03 00:10	17.5	13.64	-10.582	1019.3								63.5	12.9524		
2018-01-03 00:11	17.5	13.86	-10.381	1019.31								63.5	13.3142		
2018-01-03 00:12	17.5	13.82	-10.417	1019.29								63.5	13.2494		
2018-01-03 00:13	17.437	14.02	-10.286	1019.3								63.3866	13.4852		
2018-01-03 00:14	17.437	13.85	-10.44	1019.33								63.3866	13.208		
2018-01-03 00:15	17.437	14.01	-10.295	1019.32								63.3866	13.469		
2018-01-03 00:16	17.375	14.12	-10.246	1019.35								63.275	13.5572		
2018-01-03 00:17	17.375	13.84	-10.498	1019.31								63.275	13.1036		
2018-01-03 00:18	17.375	14.14	-10.228	1019.33								63.275	13.5896		
2018-01-03 00:19	17.375	13.98	-10.372	1019.29								63.275	13.3304		
2018-01-03 00:20	17.375	14.26	-10.122	1019.28								63.275	13.7804		
2018-01-03 00:21	17.312	14.09	-10.323	1019.32								63.1616	13.4186		
2018-01-03 00:22	17.25	14.17	-10.301	1019.26								63.05	13.4582		
2018-01-03 00:23	17.312	13.94	-10.458	1019.24								63.1616	13.1756		
2018-01-03 00:24	17.312	13.89	-10.503	1019.23								63.1616	13.0946		
2018-01-03 00:25	17.312	13.93	-10.467	1019.21								63.1616	13.1594		
2018-01-03 00:26	17.312	13.86	-10.53	1019.29								63.1616	13.046		
2018-01-03 00:27	17.25	14.12	-10.346	1019.26								63.05	13.3772		
2018-01-03 00:28	17.187	14.6	-9.975	1019.24								62.9366	14.045		
2018-01-03 00:29	17.125	14.27	-10.312	1019.24								62.825	13.4384		
2018-01-03 00:30	17.062	14.55	-10.118	1019.22								62.7116	13.7876		
2018-01-03 00:31	17.062	14.16	-10.46	1019.27								62.7116	13.172		
2018-01-03 00:32	17.062	13.94	-10.656	1019.31								62.7116	12.8192		
2018-01-03 00:33	17.125	13.89	-10.651	1019.23								62.825	12.8282		
2018-01-03 00:34	17.125	13.91	-10.633	1019.25								62.825	12.8606		
2018-01-03 00:35	17.187	13.97	-10.53	1019.31								62.9366	13.046		
2018-01-03 00:36	17.125	14.06	-10.498	1019.22								62.825	13.1036		
2018-01-03 00:37	17.062	13.95	-10.647	1019.26								62.7116	12.8354		
2018-01-03 00:38	17.062	13.92	-10.674	1019.24								62.7116	12.7868		
2018-01-03 00:39	17.062	14.27	-10.362	1019.24								62.7116	13.3484		
2018-01-03 00:40	17.062	13.87	-10.719	1019.25								62.7116	12.7058		
2018-01-03 00:41	17.062	13.94	-10.656	1019.23								62.7116	12.8192		
2018-01-03 00:42	17.0	14.06	-10.598	1019.26								62.6	12.9236		
2018-01-03 00:43	16.937	14.0	-10.701	1019.26								62.4866	12.7382		
2018-01-03 00:44	17.0	14.2	-10.473	1019.27								62.6	13.1486		
2018-01-03 00:45	17.0	14.08	-10.58	1019.27								62.6	12.956		
2018-01-03 00:46	17.0	14.23	-10.447	1019.28								62.6	13.1954		
2018-01-03 00:47	16.937	14.06	-10.648	1019.23								62.4866	12.8336		
2018-01-03 00:48	16.937	14.22	-10.506	1019.26								62.4866	13.0892		
2018-01-03 00:49	17.0	13.88	-10.759	1019.27								62.6	12.6338		
2018-01-03 00:50	17.0	13.94	-10.705	1019.28								62.6	12.731		
2018-01-03 00:51	17.0	13.82	-10.814	1019.26								62.6	12.5348		
2018-01-03 00:52	16.937	14.12	-10.594	1019.25								62.4866	12.9308		
2018-01-03 00:53	17.0	13.88	-10.759	1019.24								62.6	12.6338		
2018-01-03 00:54	17.0	13.92	-10.723	1019.19								62.6	12.6986		
2018-01-03 00:55	17.0	14.04	-10.616	1019.25								62.6	12.8912		
2018-01-03 00:56	16.937	14.14	-10.577	1019.25								62.4866	12.9614		
2018-01-03 00:57	16.937	14.08	-10.63	1019.27								62.4866	12.866		
2018-01-03 00:58	16.875	14.01	-10.742	1019.27								62.375	12.6644		
2018-01-03 00:59	16.812	14.29	-10.544	1019.29								62.2616	13.0208		
2018-01-03 01:00	16.812	14.36	-10.483	1019.26								62.2616	13.1306		
2018-01-03 01:01	16.812	14.23	-10.597	1019.28								62.2616	12.9254		
2018-01-03 01:02	16.75	14.26	-10.62	1019.21								62.15	12.884		
2018-01-03 01:03	16.75	13.97	-10.877	1019.25								62.15	12.4214		
2018-01-03 01:04	16.75	14.41	-10.488	1019.22								62.15	13.1216		
2018-01-03 01:05	16.75	14.15	-10.717	1019.24								62.15	12.7094		
2018-01-03 01:06	16.75	14.06	-10.797	1019.21								62.15	12.5654		
2018-01-03 01:07	16.75	14.15	-10.717	1019.21								62.15	12.7094		
2018-01-03 01:08	16.687	14.04	-10.864	1019.18								62.0366	12.4448		
2018-01-03 01:09	16.625	14.22	-10.754	1019.22								61.925	12.6428		
2018-01-03 01:10	16.625	14.18	-10.79	1019.2								61.925	12.578		
2018-01-03 01:11	16.5	14.68	-10.455	1019.19								61.7	13.181		
2018-01-03 01:12	16.375	14.55	-10.666	1019.16								61.475	12.8012		
2018-01-03 01:13	16.312	14.98	-10.351	1019.2								61.3616	13.3682		
2018-01-03 01:14	16.375	14.35	-10.839	1019.17								61.475	12.4898		
2018-01-03 01:15	16.375	14.51	-10.701	1019.13								61.475	12.7382		
2018-01-03 01:16	16.375	14.71	-10.529	1019.13								61.475	13.0478		
2018-01-03 01:17	16.375	14.22	-10.953	1019.13								61.475	12.2846		
2018-01-03 01:18	16.375	14.45	-10.753	1019.14								61.475	12.6446		
2018-01-03 01:19	16.437	14.17	-10.948	1019.12								61.5866	12.2936		
2018-01-03 01:20	16.437	14.01	-11.09	1019.17								61.5866	12.038		
2018-01-03 01:21	16.437	14.16	-10.957	1019.2								61.5866	12.2774		
2018-01-03 01:22	16.437	14.0	-11.099	1019.21								61.5866	12.0218		
2018-01-03 01:23	16.375	14.37	-10.822	1019.2								61.475	12.5204		
2018-01-03 01:24	16.375	14.27	-10.909	1019.19								61.475	12.3638		
2018-01-03 01:25	16.375	14.48	-10.727	1019.21								61.475	12.6914		
2018-01-03 01:26	16.375	15.03	-10.259	1019.19								61.475	13.5338		
2018-01-03 01:27	16.312	14.22	-11.003	1019.22								61.3616	12.1946		
2018-01-03 01:28	16.437	14.11	-11.001	1019.21								61.5866	12.1982		
2018-01-03 01:29	16.437	14.1	-11.01	1019.22								61.5866	12.182		
2018-01-03 01:30	16.437	14.36	-10.781	1019.19								61.5866	12.5942		
2018-01-03 01:31	16.437	14.64	-10.539	1019.14								61.5866	13.0298		
2018-01-03 01:32	16.437	14.07	-11.036	1019.12								61.5866	12.1352		
2018-01-03 01:33	16.562	14.04	-10.964	1019.13								61.8116	12.2648		
2018-01-03 01:34	16.562	14.01	-10.991	1019.09								61.8116	12.2162		
2018-01-03 01:35	16.625	14.03	-10.923	1019.1								61.925	12.3386		
2018-01-03 01:36	16.625	14.23	-10.745	1019.09								61.925	12.659		
2018-01-03 01:37	16.562	14.07	-10.937	1019.12								61.8116	12.3134		
2018-01-03 01:38	16.562	14.29	-10.743	1019.11								61.8116	12.6626		
2018-01-03 01:39	16.562	13.95	-11.044	1019.12								61.8116	12.1208		
