observed_at	temp_c	humidity_pct	dewpoint_c	pressure_hPa
2023-01-25 00:00	4.213	100.000	4.213	978.193
2023-01-25 00:01	4.223	100.000	4.223	978.210
2023-01-25 00:02	4.223	100.000	4.223	978.210
2023-01-25 00:03	4.228	100.000	4.228	978.218
2023-01-25 00:04	4.249	100.000	4.249	978.278
2023-01-25 00:05	4.223	100.000	4.223	978.289
2023-01-25 00:06	4.228	100.000	4.228	978.297
2023-01-25 00:07	4.285	100.000	4.285	978.364
2023-01-25 00:08	4.321	100.000	4.321	978.449
2023-01-25 00:09	4.331	100.000	4.331	978.387
2023-01-25 00:10	4.377	100.000	4.377	978.437
2023-01-25 00:11	4.398	100.000	4.398	978.418
2023-01-25 00:12	4.413	100.000	4.413	978.470
2023-01-25 00:13	4.326	100.000	4.326	978.379
2023-01-25 00:14	4.382	100.000	4.382	978.340
2023-01-25 00:15	4.418	100.000	4.418	978.321
2023-01-25 00:16	4.413	100.000	4.413	978.312
2023-01-25 00:17	4.377	100.000	4.377	978.306
2023-01-25 00:18	4.423	100.000	4.423	978.303
2023-01-25 00:19	4.449	100.000	4.449	978.266
2023-01-25 00:20	4.444	100.000	4.444	978.337
2023-01-25 00:21	4.428	100.000	4.428	978.338
2023-01-25 00:22	4.444	100.000	4.444	978.284
2023-01-25 00:23	4.428	100.000	4.428	978.338
2023-01-25 00:24	4.387	100.000	4.387	978.323
2023-01-25 00:25	4.377	100.000	4.377	978.332
2023-01-25 00:26	4.362	100.000	4.362	978.359
2023-01-25 00:27	4.413	100.000	4.413	978.391
2023-01-25 00:28	4.351	100.000	4.351	978.316
2023-01-25 00:29	4.423	100.000	4.423	978.277
2023-01-25 00:30	4.423	100.000	4.423	978.303
2023-01-25 00:31	4.428	100.000	4.428	978.311
2023-01-25 00:32	4.433	100.000	4.433	978.293
2023-01-25 00:33	4.382	100.000	4.382	978.340
2023-01-25 00:34	4.459	100.000	4.459	978.309
2023-01-25 00:35	4.480	100.000	4.480	978.291
2023-01-25 00:36	4.403	100.000	4.403	978.322
2023-01-25 00:37	4.382	100.000	4.382	978.262
2023-01-25 00:38	4.315	100.000	4.315	978.283
2023-01-25 00:39	4.362	100.000	4.362	978.254
2023-01-25 00:40	4.408	100.000	4.408	978.251
2023-01-25 00:41	4.433	100.000	4.433	978.320
2023-01-25 00:42	4.444	100.000	4.444	978.284
2023-01-25 00:43	4.403	100.000	4.403	978.322
2023-01-25 00:44	4.485	100.000	4.485	978.273
2023-01-25 00:45	4.444	100.000	4.444	978.284
2023-01-25 00:46	4.464	100.000	4.464	978.318
2023-01-25 00:47	4.423	100.000	4.423	978.303
2023-01-25 00:48	4.233	100.000	4.233	978.279
2023-01-25 00:49	4.177	100.000	4.177	978.292
2023-01-25 00:50	4.244	100.000	4.244	978.270
2023-01-25 00:51	4.295	100.000	4.295	978.276
2023-01-25 00:52	4.305	100.000	4.305	978.293
2023-01-25 00:53	4.300	100.000	4.300	978.231
2023-01-25 00:54	4.346	100.000	4.346	978.281
2023-01-25 00:55	4.423	100.000	4.423	978.277
2023-01-25 00:56	4.372	100.000	4.372	978.218
2023-01-25 00:57	4.367	100.000	4.367	978.236
2023-01-25 00:58	4.356	100.000	4.356	978.246
2023-01-25 00:59	4.315	100.000	4.315	978.204
2023-01-25 01:00	4.084	100.000	4.084	978.323
2023-01-25 01:01	3.915	100.000	3.915	978.307
2023-01-25 01:02	3.818	100.000	3.818	978.304
2023-01-25 01:03	3.813	100.000	3.813	978.296
2023-01-25 01:04	3.669	100.000	3.669	978.269
2023-01-25 01:05	3.679	100.000	3.679	978.312
2023-01-25 01:06	3.587	100.000	3.587	978.344
2023-01-25 01:07	3.561	100.000	3.561	978.354
2023-01-25 01:08	3.607	100.000	3.607	978.378
2023-01-25 01:09	3.643	100.000	3.643	978.358
2023-01-25 01:10	3.602	100.000	3.602	978.422
2023-01-25 01:11	3.618	100.000	3.618	978.447
2023-01-25 01:12	3.587	100.000	3.587	978.475
2023-01-25 01:13	3.402	100.000	3.402	978.459
2023-01-25 01:14	3.371	100.000	3.371	978.514
2023-01-25 01:15	3.412	100.000	3.412	978.450
2023-01-25 01:16	3.464	100.000	3.464	978.509
2023-01-25 01:17	3.618	100.000	3.618	978.552
2023-01-25 01:18	3.566	100.000	3.566	978.599
2023-01-25 01:19	3.618	100.000	3.618	978.605
2023-01-25 01:20	3.423	100.000	3.423	978.572
2023-01-25 01:21	3.438	100.000	3.438	978.624
2023-01-25 01:22	3.535	100.000	3.535	978.574
2023-01-25 01:23	3.474	100.000	3.474	978.604
2023-01-25 01:24	3.541	100.000	3.541	978.609
2023-01-25 01:25	3.248	100.000	3.248	978.626
2023-01-25 01:26	3.135	100.000	3.135	978.702
2023-01-25 01:27	3.371	100.000	3.371	978.724
2023-01-25 01:28	3.423	100.000	3.423	978.730
2023-01-25 01:29	3.494	100.000	3.494	978.717
2023-01-25 01:30	3.505	100.000	3.505	978.681
2023-01-25 01:31	3.443	100.000	3.443	978.711
2023-01-25 01:32	3.166	100.000	3.166	978.700
2023-01-25 01:33	3.197	100.000	3.197	978.699
2023-01-25 01:34	3.120	100.000	3.120	978.650
2023-01-25 01:35	3.043	100.000	3.043	978.655
2023-01-25 01:36	3.099	100.000	3.099	978.643
2023-01-25 01:37	3.104	100.000	3.104	978.651
2023-01-25 01:38	3.161	100.000	3.161	978.692
2023-01-25 01:39	3.033	100.000	3.033	978.690
